         8	    0.000000596
        16	    0.000000634
        32	    0.000000703
        64	    0.000000732
       128	    0.000000749
       256	    0.000000777
       512	    0.000000868
      1024	    0.000000958
      2048	    0.000001152
      4096	    0.000001683
      8192	    0.000003998
     16384	    0.000004091
     32768	    0.000006931
     65536	    0.000012295
    131072	    0.000023382
    262144	    0.000045500
    524288	    0.000087504
   1048576	    0.000172043
   2097152	    0.000341733
   4194304	    0.000682321
   8388608	    0.001358762
  16777216	    0.002718322
  33554432	    0.005569303
  67108864	    0.011386721
 134217728	    0.023045514
 268435456	    0.046338172
 536870912	    0.093104210
1073741824	    0.186733561
