         8	    0.000001647
        16	    0.000001605
        32	    0.000001895
        64	    0.000001640
       128	    0.000001755
       256	    0.000002141
       512	    0.000001886
      1024	    0.000002115
      2048	    0.000002575
      4096	    0.000003831
      8192	    0.000008698
     16384	    0.000007288
     32768	    0.000040915
     65536	    0.000013700
    131072	    0.000021260
    262144	    0.000037000
    524288	    0.000096841
   1048576	    0.000135419
   2097152	    0.000281556
   4194304	    0.000522895
   8388608	    0.001117756
  16777216	    0.002333324
  33554432	    0.004659641
  67108864	    0.009481187
 134217728	    0.018963954
 268435456	    0.038431377
 536870912	    0.075905917
1073741824	    0.151970713
